REF,NomHV,NomLatin,Provenance,OrganeProducteur,Sb,Properties,Indications,ContreIndications,Note,Description
1,Amande douce,Prunus amygdalus,Espagne;Provence,Graines des amandiers,Oméga6;Oméga9;Acides gras saturés;Vitamie A;Vitamine E,Excipient aromathérapie;Adoucissante;Calmante;Pénétrante;Hydratante;Tonifiante;Nourrisante;Assouplissante,"Excipient aromathérapie;Base de massage;Cosmétique: peux ternes, fatiguées, dévitalisées;Dermatologie: excipient prurit, eczéma, psoriasis; Idéale pour bébés;Seins crevassés; Mains abîmées",,Cette huile est avant tout l'huile végétale des enfants.,
2,Bourrache,Borago officinalis,Régions méditerranéennes,Graines mûres,Oméga3;Oméga6;Oméga;Acides gras saturés;Vitamine A;Vitamine D;Vitamine K;Vitamine E,Régénérante de la peau et des tissus;Assouplissante;Revitalisante;Excipient cosmétologie;Régulatrice cholestérol et triglycérides,"Cosmétique;Esthétique;Anti-âge;Rides;Peaux dévitalisées;Peaux fatiguées;Dermatologie: excipient prurit, eczéma, psoriasis",,,
3,Calophylle inophylle,Calophyllum inophyllum,Madagascar,Noix,Oméga6;Oméga9;Acides gras,Régénérante cutanée;Anti-inflammatoire;Antalgique;Cicatrisante;Tonique et protectrice des capillaires sanguins;Excipient cosmétologie,"Cosmétique;Anti-âge;Rides;Peaux dévitalisées;Peaux fatiguées;Vergétures;Couperose;Dermatologie: excipient prurit, eczéma, psoriasis, nécroses, prévention d'escarres;Anti-inflammatoire ostéo-articulaire",,,
4,Jojoba,Simmondsia chinensis,Argentine,Graines,Oméga6;Oméga9;Acide gras,"Protectrice et lubrifiante cutanée;Equilibrante de l'acidité de la peau: améliore le métabolisme de l'élastine, diminue les ertes en eau de la cellule",Cosmétique;Acné (séborégulateur);Anti-âge;Antirides;Peaux dévitalisées;Peux fatiguées;Hydratante;Adoucissante;Redonne de l'élasticité à la peau;Cheveux gras;Ongles cassants,,,
5,Macadamia,Macadamia integrifolia,Australie,Noix,Acides gras saturés;Oméga3;Oméga6;Oméga9,Fluide;Pénétrante;Active la microcirculation périphérique; Touché non-gras;Excipient massages aromatiques;Excipient cosmétologie,Base de massages aromatiques;Vergétures;Gerçures;Crevasses,,,
6,Millepertuis/Herbe de la Saint-Jean,Hypericum perforatum,France,Plante entière fleurie,Oméga9;Acides gras saturés;Hypericine;Hyperforine,Antalgique neurologique;Anti-inflammatoire;Cicatrisante;Régénérante;Apaisante,"Brûlures (exposition solaire); Douleurs rhumatologiques; Plaies et douleurs: escarres, inflammation",,,Ce macérât huileux est photosensibilisant. Ne pas s'exposer au soleil au moins 6 heurs après l'application.
7,Noisette,Corylus avellana,Turquie,Amandes du fruit,Oméga6;Oméga9;Acides gras saturés;Vitamine E,Excipient;Très fluide;Très pénétrante;Hydratante,Base de massages pour massages longs,,,
8,Noyau d'abricot,Prunus armeniaca,Italie,Amandes des noyaux d'abricot,Oméga6;Oméga9;Acides gras saturés;Vitamine A,Excipient aromathérapie;Pénétrante;Hydratante;Tonifiante;Nourrissante;Assouplissante;Revitalisante,"Excipient aromathérapie;Cosmétique;Peaux ternes;Peaux fatiguées;Peaux dévitalisées;Dermatologie: excipient prurit, eczéma, psoriasis",,L'huile végétale de Noyau d'abricot est à l'adulte ce que l'huile végétale d'Amande douce est à l'enfant.,
9,Onagre,Oenothera biennis,Amérique du Nord;Chine;France,Graines,Oméga6;Acides gras saturés;Vitamine E,Reconstructrice de la membrane cellulaire;Régulatrice du système hormonal (progestéronique léger);Hydratante,Cosmétologie;Régénérante;Adoucissante;Anti-âge;Antirides;Antivieillisement;Régulation de l'hydratation cellulaire;Beauté des cheveux;Beauté des ongles,,Voie orale également conseillée.,
10,Rose musquée du Chili,Rosa rubiginosa,Chili,Graines,Acides gras insaturés;Oméga3;Oméga6;Oméga9;Acides gras saturés;Vitamine A;Vitamine E,Régénérante cellulaire;Cicatrisante;Souplesse et elasticité de la peau;Hydratante,"Cicatrices chirurgicales;Brûlures;Régénérante;Adoucissante;Anti-âge;Antirides;Vieillissement prématuré;Dermatologie: dartre, eczéma, psoriasis...",,,
11,Calendula,Calendula officinalis,France,Fleurs,Oméga6;Acides gras saturés;Acides gras insaturés;Fariadol,Régénérateur des tissus;Réduction des inflammations rhumatismales,Plaies;Ulcérations;Crevasses;Coups de soleil;Dermatoses;Prurit;Urticaires;Radiodermite;Couperose,,,
